Test # 1
Space,Count,%,Count,%,Count,%,Count,%
Oriental Avenue,30,2.4058,286,2.2891,2713,2.1799,26885,2.1634,
Chance,30,2.4058,280,2.2411,2840,2.2819,27256,2.1933,
Vermont Avenue,22,1.7642,258,2.0650,2675,2.1493,27375,2.2028,
Connecticut Avenue,29,2.3256,280,2.2411,2711,2.1783,27415,2.2061,
Jail / Just Visiting,28,2.2454,279,2.2331,2759,2.2168,27236,2.1916,
St. Charles Place,31,2.4860,317,2.5372,3274,2.6306,32523,2.6171,
Electric Company,27,2.1652,328,2.6253,3177,2.5527,31305,2.5191,
States Avenue,26,2.0850,294,2.3531,2850,2.2899,27963,2.2501,
Virginia Avenue,31,2.4860,269,2.1530,2924,2.3494,29599,2.3818,
Pennsylvania Railroad,37,2.9671,322,2.5772,3440,2.7640,34014,2.7371,
St. James Place,33,2.6464,335,2.6813,3306,2.6563,33497,2.6955,
Community Chest,31,2.4860,351,2.8093,3443,2.7664,34661,2.7891,
Tennessee Avenue,33,2.6464,342,2.7373,3500,2.8122,35357,2.8451,
New York Avenue,49,3.9294,399,3.1935,3790,3.0452,36737,2.9562,
Free Parking,40,3.2077,354,2.8334,3556,2.8572,34714,2.7934,
Kentucky Avenue,22,1.7642,324,2.5932,3360,2.6997,33535,2.6985,
Chance,35,2.8067,325,2.6012,3345,2.6877,33828,2.7221,
Indiana Avenue,38,3.0473,346,2.7693,3242,2.6049,32577,2.6214,
Illinois Avenue,39,3.1275,379,3.0335,3830,3.0774,37963,3.0548,
B. & O. Railroad,24,1.9246,381,3.0495,3650,2.9327,36354,2.9254,
Atlantic Avenue,33,2.6464,342,2.7373,3191,2.5639,32421,2.6089,
Ventnor Avenue,32,2.5662,301,2.4092,3194,2.5663,32023,2.5769,
Water Works,39,3.1275,348,2.7853,3307,2.6571,33364,2.6848,
Marvin Gardens,31,2.4860,292,2.3371,3110,2.4989,30812,2.4794,
Go To Jail,37,2.9671,319,2.5532,3131,2.5157,31404,2.5270,
Pacific Avenue,40,3.2077,351,2.8093,3252,2.6130,32029,2.5773,
North Carolina Avenue,26,2.0850,320,2.5612,3117,2.5045,31299,2.5186,
Community Chest,32,2.5662,291,2.3291,3185,2.5591,32225,2.5931,
Pennsylvania Avenue,25,2.0048,298,2.3851,2980,2.3944,29781,2.3964,
Short Line,20,1.6038,279,2.2331,2882,2.3157,28747,2.3132,
Chance,29,2.3256,293,2.3451,2750,2.2096,27643,2.2244,
Park Place,36,2.8869,307,2.4572,2652,2.1309,26194,2.1078,
Luxury Tax,38,3.0473,286,2.2891,2599,2.0883,25946,2.0878,
Boardwalk,30,2.4058,282,2.2571,3159,2.5382,31427,2.5289,

Test # 5
Space,Count,%,Count,%,Count,%,Count,%
,n = 1000,,n = 10000,,n = 100000,,n = 1000000,,
Go,37,2.9365,359,2.8812,3711,2.9908,37100,2.9832,
Mediterranean Avenue,35,2.7778,293,2.3515,2613,2.1059,25644,2.0620,
Community Chest,25,1.9841,239,1.9181,2572,2.0728,25597,2.0583,
Baltic Avenue,25,1.9841,260,2.0867,2506,2.0196,25638,2.0616,
Income Tax,26,2.0635,276,2.2151,2745,2.2123,27616,2.2206,
Reading Railroad,39,3.0952,335,2.6886,3491,2.8135,35565,2.8598,
Oriental Avenue,20,1.5873,279,2.2392,2786,2.2453,26913,2.1641,
Chance,28,2.2222,235,1.8860,2646,2.1325,27468,2.2087,
Vermont Avenue,37,2.9365,298,2.3917,2806,2.2614,27649,2.2233,
Connecticut Avenue,32,2.5397,294,2.3596,2785,2.2445,27348,2.1991,
Jail / Just Visiting,25,1.9841,262,2.1027,2681,2.1607,27016,2.1724,
St. Charles Place,33,2.6190,333,2.6726,3317,2.6733,32420,2.6069,
Electric Company,28,2.2222,295,2.3676,3050,2.4581,31503,2.5332,
States Avenue,23,1.8254,322,2.5843,2881,2.3219,28238,2.2706,
Virginia Avenue,29,2.3016,273,2.1910,2887,2.3267,29622,2.3819,
Pennsylvania Railroad,42,3.3333,351,2.8170,3409,2.7474,34232,2.7526,
St. James Place,35,2.7778,321,2.5762,3290,2.6515,33264,2.6748,
Community Chest,37,2.9365,363,2.9133,3470,2.7966,34809,2.7990,
Tennessee Avenue,31,2.4603,347,2.7849,3577,2.8828,35479,2.8529,
New York Avenue,30,2.3810,365,2.9294,3553,2.8635,36414,2.9281,
Free Parking,43,3.4127,365,2.9294,3490,2.8127,34742,2.7936,
Kentucky Avenue,35,2.7778,319,2.5602,3404,2.7434,33702,2.7100,
Chance,39,3.0952,359,2.8812,3424,2.7595,33959,2.7306,
Indiana Avenue,30,2.3810,302,2.4238,3193,2.5733,32407,2.6058,
Illinois Avenue,36,2.8571,384,3.0819,3806,3.0674,37968,3.0530,
B. & O. Railroad,41,3.2540,390,3.1300,3617,2.9150,36718,2.9525,
Atlantic Avenue,31,2.4603,336,2.6966,3249,2.6185,32218,2.5907,
Ventnor Avenue,38,3.0159,311,2.4960,3270,2.6354,31853,2.5613,
Water Works,33,2.6190,324,2.6003,3236,2.6080,33568,2.6992,
Marvin Gardens,25,1.9841,323,2.5923,3071,2.4750,30692,2.4679,
Go To Jail,32,2.5397,321,2.5762,3142,2.5322,31627,2.5431,
Pacific Avenue,30,2.3810,312,2.5040,3230,2.6031,31631,2.5435,
North Carolina Avenue,30,2.3810,319,2.5602,3200,2.5790,31528,2.5352,
Community Chest,33,2.6190,327,2.6244,3154,2.5419,31945,2.5687,
Pennsylvania Avenue,37,2.9365,293,2.3515,2971,2.3944,29661,2.3850,
Short Line,27,2.1429,288,2.3114,2852,2.2985,29018,2.3333,
Chance,28,2.2222,267,2.1429,2710,2.1841,27447,2.2070,
Park Place,21,1.6667,249,1.9984,2537,2.0446,26153,2.1030,
Luxury Tax,24,1.9048,249,1.9984,2569,2.0704,25960,2.0874,
Boardwalk,30,2.3810,322,2.5843,3180,2.5628,31293,2.5163,

Test # 6
Space,Count,%,Count,%,Count,%,Count,%
,n = 1000,,n = 10000,,n = 100000,,n = 1000000,,
Go,40,3.2362,366,2.9402,3650,2.9390,36656,2.9509,
Mediterranean Avenue,24,1.9417,219,1.7593,2453,1.9752,25209,2.0294,
Community Chest,27,2.1845,271,2.1771,2619,2.1088,25826,2.0791,
Baltic Avenue,26,2.1036,265,2.1289,2645,2.1298,25744,2.0725,
Income Tax,26,2.1036,269,2.1610,2651,2.1346,27496,2.2135,
Reading Railroad,28,2.2654,367,2.9483,3487,2.8078,35382,2.8484,
Oriental Avenue,21,1.6990,239,1.9200,2704,2.1773,27069,2.1792,
Chance,31,2.5081,315,2.5305,2729,2.1974,27612,2.2229,
Vermont Avenue,32,2.5890,269,2.1610,2733,2.2006,27390,2.2050,
Connecticut Avenue,31,2.5081,280,2.2494,2818,2.2691,27296,2.1974,
Jail / Just Visiting,16,1.2945,250,2.0084,2664,2.1451,26955,2.1700,
St. Charles Place,27,2.1845,311,2.4984,3164,2.5477,32075,2.5822,
Electric Company,32,2.5890,360,2.8920,3179,2.5598,31771,2.5577,
States Avenue,40,3.2362,275,2.2092,2782,2.2401,28151,2.2663,
Virginia Avenue,35,2.8317,271,2.1771,3003,2.4180,29518,2.3763,
Pennsylvania Railroad,33,2.6699,370,2.9724,3489,2.8094,34217,2.7546,
St. James Place,38,3.0744,343,2.7555,3382,2.7232,33592,2.7043,
Community Chest,26,2.1036,356,2.8599,3504,2.8215,34678,2.7917,
Tennessee Avenue,37,2.9935,356,2.8599,3451,2.7788,35106,2.8262,
New York Avenue,33,2.6699,370,2.9724,3685,2.9672,36520,2.9400,
Free Parking,39,3.1553,325,2.6109,3460,2.7860,34599,2.7853,
Kentucky Avenue,39,3.1553,315,2.5305,3310,2.6652,33441,2.6921,
Chance,43,3.4790,343,2.7555,3414,2.7490,33606,2.7054,
Indiana Avenue,18,1.4563,313,2.5145,3252,2.6185,33059,2.6614,
Illinois Avenue,46,3.7217,407,3.2696,3808,3.0662,37864,3.0482,
B. & O. Railroad,36,2.9126,393,3.1571,3753,3.0220,36575,2.9444,
Atlantic Avenue,35,2.8317,288,2.3136,3116,2.5090,31925,2.5701,
Ventnor Avenue,22,1.7799,316,2.5386,3260,2.6250,31755,2.5564,
Water Works,32,2.5890,349,2.8037,3278,2.6395,33440,2.6920,
Marvin Gardens,28,2.2654,310,2.4904,3068,2.4704,30780,2.4779,
Go To Jail,29,2.3463,323,2.5948,3225,2.5968,31702,2.5521,
Pacific Avenue,31,2.5081,298,2.3940,3195,2.5727,31870,2.5657,
North Carolina Avenue,29,2.3463,319,2.5627,3131,2.5211,31204,2.5120,
Community Chest,35,2.8317,330,2.6510,3300,2.6572,32043,2.5796,
Pennsylvania Avenue,30,2.4272,291,2.3377,2907,2.3407,29737,2.3939,
Short Line,32,2.5890,274,2.2012,2864,2.3061,28895,2.3262,
Chance,22,1.7799,310,2.4904,2676,2.1547,27552,2.2180,
Park Place,27,2.1845,235,1.8879,2582,2.0791,26267,2.1146,
Luxury Tax,27,2.1845,269,2.1610,2673,2.1523,26149,2.1051,
Boardwalk,33,2.6699,318,2.5546,3127,2.5179,31453,2.5321,

Test # 7
Space,Count,%,Count,%,Count,%,Count,%
,n = 1000,,n = 10000,,n = 100000,,n = 1000000,,
Go,34,2.7353,378,3.0274,3643,2.9328,37041,2.9786,
Mediterranean Avenue,25,2.0113,281,2.2505,2576,2.0738,25520,2.0521,
Community Chest,24,1.9308,261,2.0903,2576,2.0738,25445,2.0461,
Baltic Avenue,29,2.3331,279,2.2345,2556,2.0577,25539,2.0537,
Income Tax,35,2.8158,289,2.3146,2778,2.2364,27724,2.2294,
Reading Railroad,32,2.5744,308,2.4668,3511,2.8266,35480,2.8531,
Oriental Avenue,25,2.0113,269,2.1544,2735,2.2018,26991,2.1704,
Chance,29,2.3331,287,2.2986,2797,2.2517,27890,2.2427,
Vermont Avenue,28,2.2526,274,2.1945,2779,2.2372,27782,2.2340,
Connecticut Avenue,27,2.1722,280,2.2425,2656,2.1382,27458,2.2080,
Jail / Just Visiting,30,2.4135,261,2.0903,2711,2.1825,26942,2.1665,
St. Charles Place,31,2.4940,347,2.7791,3230,2.6003,32313,2.5984,
Electric Company,26,2.0917,301,2.4107,3131,2.5206,31707,2.5497,
States Avenue,35,2.8158,274,2.1945,2780,2.2381,28014,2.2527,
Virginia Avenue,23,1.8504,301,2.4107,2979,2.3983,29769,2.3938,
Pennsylvania Railroad,42,3.3789,354,2.8352,3534,2.8451,34305,2.7586,
St. James Place,26,2.0917,307,2.4588,3330,2.6808,33413,2.6868,
Community Chest,36,2.8962,337,2.6990,3399,2.7364,34431,2.7687,
Tennessee Avenue,34,2.7353,338,2.7070,3496,2.8145,35519,2.8562,
New York Avenue,37,2.9767,400,3.2036,3734,3.0061,36589,2.9422,
Free Parking,47,3.7812,396,3.1716,3509,2.8249,34648,2.7862,
Kentucky Avenue,35,2.8158,330,2.6430,3356,2.7018,33572,2.6996,
Chance,26,2.0917,332,2.6590,3395,2.7332,34017,2.7354,
Indiana Avenue,33,2.6549,310,2.4828,3233,2.6027,32224,2.5912,
Illinois Avenue,31,2.4940,386,3.0915,3751,3.0198,37844,3.0432,
B. & O. Railroad,43,3.4594,378,3.0274,3662,2.9481,36844,2.9627,
Atlantic Avenue,35,2.8158,294,2.3546,3161,2.5448,32045,2.5768,
Ventnor Avenue,31,2.4940,328,2.6269,3151,2.5367,31959,2.5699,
Water Works,32,2.5744,321,2.5709,3345,2.6929,33496,2.6935,
Marvin Gardens,35,2.8158,321,2.5709,3096,2.4925,30886,2.4836,
Go To Jail,23,1.8504,300,2.4027,3129,2.5190,31386,2.5238,
Pacific Avenue,22,1.7699,340,2.7230,3197,2.5738,32008,2.5739,
North Carolina Avenue,39,3.1376,322,2.5789,3129,2.5190,31071,2.4985,
Community Chest,37,2.9767,347,2.7791,3241,2.6092,32153,2.5855,
Pennsylvania Avenue,33,2.6549,296,2.3707,2987,2.4047,29809,2.3970,
Short Line,20,1.6090,283,2.2665,2928,2.3572,28825,2.3179,
Chance,35,2.8158,268,2.1464,2650,2.1334,27370,2.2009,
Park Place,20,1.6090,270,2.1624,2518,2.0271,25908,2.0833,
Luxury Tax,24,1.9308,233,1.8661,2672,2.1511,26063,2.0958,
Boardwalk,34,2.7353,305,2.4427,3174,2.5552,31578,2.5393,

Test # 8
Space,Count,%,Count,%,Count,%,Count,%
,n = 1000,,n = 10000,,n = 100000,,n = 1000000,,
Go,35,2.8478,372,2.9932,3661,2.9470,36614,2.9456,
Mediterranean Avenue,20,1.6273,246,1.9794,2515,2.0245,25358,2.0400,
Community Chest,33,2.6851,253,2.0357,2485,2.0004,25766,2.0729,
Baltic Avenue,26,2.1155,241,1.9392,2483,1.9987,25430,2.0458,
Income Tax,27,2.1969,269,2.1645,2756,2.2185,27809,2.2372,
Reading Railroad,30,2.4410,361,2.9047,3647,2.9357,35406,2.8484,
Oriental Avenue,35,2.8478,276,2.2208,2756,2.2185,27121,2.1819,
Chance,22,1.7901,238,1.9150,2666,2.1461,27459,2.2091,
Vermont Avenue,37,3.0106,311,2.5024,2820,2.2700,27631,2.2229,
Connecticut Avenue,26,2.1155,249,2.0035,2756,2.2185,27391,2.2036,
Jail / Just Visiting,26,2.1155,285,2.2932,2727,2.1952,26975,2.1701,
St. Charles Place,27,2.1969,320,2.5748,3247,2.6137,32372,2.6043,
Electric Company,40,3.2547,329,2.6472,3099,2.4946,31558,2.5388,
States Avenue,30,2.4410,269,2.1645,2811,2.2628,27956,2.2490,
Virginia Avenue,32,2.6037,309,2.4863,2975,2.3948,29826,2.3995,
Pennsylvania Railroad,26,2.1155,339,2.7277,3411,2.7458,34598,2.7834,
St. James Place,32,2.6037,345,2.7760,3367,2.7103,33357,2.6836,
Community Chest,32,2.6037,350,2.8162,3523,2.8359,34411,2.7684,
Tennessee Avenue,26,2.1155,356,2.8645,3532,2.8432,35154,2.8281,
New York Avenue,40,3.2547,360,2.8967,3590,2.8898,36445,2.9320,
Free Parking,35,2.8478,331,2.6633,3474,2.7965,34948,2.8116,
Kentucky Avenue,28,2.2783,327,2.6312,3360,2.7047,33780,2.7176,
Chance,32,2.6037,353,2.8404,3389,2.7280,33892,2.7266,
Indiana Avenue,35,2.8478,332,2.6714,3271,2.6331,32496,2.6143,
Illinois Avenue,39,3.1733,375,3.0174,3781,3.0436,38034,3.0598,
B. & O. Railroad,36,2.9292,374,3.0093,3676,2.9591,36531,2.9389,
Atlantic Avenue,38,3.0919,346,2.7840,3234,2.6033,32061,2.5793,
Ventnor Avenue,31,2.5224,303,2.4380,3182,2.5614,31959,2.5711,
Water Works,31,2.5224,334,2.6875,3316,2.6693,33467,2.6924,
Marvin Gardens,30,2.4410,291,2.3415,3122,2.5131,30705,2.4702,
Go To Jail,18,1.4646,306,2.4622,3103,2.4978,31681,2.5487,
Pacific Avenue,33,2.6851,323,2.5990,3212,2.5856,31714,2.5514,
North Carolina Avenue,37,3.0106,322,2.5909,3097,2.4930,31403,2.5264,
Community Chest,35,2.8478,309,2.4863,3253,2.6186,32128,2.5847,
Pennsylvania Avenue,30,2.4410,304,2.4461,2866,2.3070,29511,2.3741,
Short Line,28,2.2783,298,2.3978,2951,2.3755,29176,2.3472,
Chance,29,2.3596,279,2.2449,2787,2.2435,27331,2.1988,
Park Place,27,2.1969,277,2.2288,2608,2.0994,25990,2.0909,
Luxury Tax,25,2.0342,263,2.1162,2566,2.0656,26079,2.0980,
Boardwalk,30,2.4410,303,2.4380,3153,2.5381,31491,2.5334,

Test # 9
Space,Count,%,Count,%,Count,%,Count,%
,n = 1000,,n = 10000,,n = 100000,,n = 1000000,,
Go,43,3.4263,403,3.2456,3698,2.9724,36889,2.9668,
Mediterranean Avenue,20,1.5936,263,2.1181,2503,2.0119,25408,2.0434,
Community Chest,27,2.1514,249,2.0053,2598,2.0882,25759,2.0717,
Baltic Avenue,25,1.9920,252,2.0295,2633,2.1164,25977,2.0892,
