Test # 1
Space,Count,%,Count,%,Count,%,Count,%
Ventnor Avenue,23,1.9608,313,2.6729,2980,2.5330,30187,2.5601,
Water Works,31,2.6428,321,2.7412,3255,2.7668,31721,2.6902,
Marvin Gardens,25,2.1313,309,2.6388,2877,2.4455,29181,2.4748,
Go To Jail,29,2.4723,290,2.4765,3011,2.5594,29756,2.5236,
Pacific Avenue,25,2.1313,295,2.5192,3070,2.6095,30290,2.5688,
North Carolina Avenue,34,2.8986,291,2.4851,2947,2.5050,29495,2.5014,
Community Chest,28,2.3870,266,2.2716,2936,2.4956,30745,2.6074,
Pennsylvania Avenue,27,2.3018,295,2.5192,2897,2.4625,28179,2.3898,
Short Line,28,2.3870,273,2.3313,2702,2.2967,27293,2.3147,
Chance,31,2.6428,260,2.2203,2533,2.1531,25915,2.1978,
Park Place,30,2.5575,238,2.0325,2434,2.0689,24794,2.1027,
Luxury Tax,22,1.8755,238,2.0325,2459,2.0902,24470,2.0753,
Boardwalk,29,2.4723,291,2.4851,3025,2.5713,29899,2.5357,

Test # 7
Space,Count,%,Count,%,Count,%,Count,%
,n = 1000,,n = 10000,,n = 100000,,n = 1000000,,
Go,34,2.9437,344,2.9424,3460,2.9411,34937,2.9613,
Mediterranean Avenue,21,1.8182,228,1.9502,2401,2.0409,24017,2.0357,
Community Chest,26,2.2511,254,2.1726,2418,2.0554,24538,2.0798,
Baltic Avenue,20,1.7316,244,2.0871,2496,2.1217,24216,2.0526,
Income Tax,28,2.4242,268,2.2924,2539,2.1582,26200,2.2207,
Reading Railroad,34,2.9437,328,2.8056,3390,2.8816,33703,2.8567,
Oriental Avenue,25,2.1645,262,2.2410,2497,2.1225,25562,2.1666,
Chance,26,2.2511,253,2.1641,2595,2.2058,26035,2.2067,
Vermont Avenue,31,2.6840,256,2.1897,2553,2.1701,26488,2.2451,
Connecticut Avenue,25,2.1645,271,2.3180,2670,2.2696,26001,2.2039,
Jail / Just Visiting,20,1.7316,237,2.0272,2544,2.1625,25742,2.1819,
St. Charles Place,33,2.8571,292,2.4976,3020,2.5671,30725,2.6043,
Electric Company,33,2.8571,316,2.7029,3166,2.6912,30931,2.6217,
States Avenue,22,1.9048,254,2.1726,2532,2.1523,26122,2.2141,
Virginia Avenue,37,3.2035,285,2.4378,2894,2.4600,28668,2.4299,
Pennsylvania Railroad,35,3.0303,330,2.8227,3227,2.7430,32091,2.7200,
St. James Place,27,2.3377,296,2.5319,3184,2.7065,31931,2.7065,
Community Chest,37,3.2035,336,2.8740,3184,2.7065,31679,2.6851,
Tennessee Avenue,33,2.8571,351,3.0023,3381,2.8739,33720,2.8581,
New York Avenue,33,2.8571,348,2.9766,3448,2.9309,34014,2.8830,
Free Parking,31,2.6840,323,2.7628,3276,2.7847,33522,2.8413,
Kentucky Avenue,25,2.1645,336,2.8740,3149,2.6767,31678,2.6850,
Chance,29,2.5108,305,2.6088,3313,2.8161,33197,2.8138,
Indiana Avenue,33,2.8571,282,2.4121,3045,2.5883,30696,2.6018,
Illinois Avenue,40,3.4632,357,3.0536,3649,3.1018,36014,3.0526,
B. & O. Railroad,40,3.4632,353,3.0194,3443,2.9267,34554,2.9288,
Atlantic Avenue,36,3.1169,301,2.5746,3007,2.5560,30514,2.5864,
Ventnor Avenue,21,1.8182,301,2.5746,3037,2.5815,30010,2.5437,
Water Works,31,2.6840,332,2.8398,3115,2.6478,31621,2.6802,
Marvin Gardens,34,2.9437,288,2.4634,2906,2.4702,29409,2.4927,
Go To Jail,27,2.3377,301,2.5746,2997,2.5475,29639,2.5122,
Pacific Avenue,29,2.5108,297,2.5404,3015,2.5628,30278,2.5664,
North Carolina Avenue,20,1.7316,281,2.4036,2950,2.5076,29830,2.5284,
Community Chest,30,2.5974,289,2.4720,3092,2.6283,30467,2.5824,
Pennsylvania Avenue,23,1.9913,297,2.5404,2784,2.3665,28058,2.3782,
Short Line,35,3.0303,285,2.4378,2775,2.3588,27523,2.3329,
Chance,28,2.4242,269,2.3009,2634,2.2390,26162,2.2175,
Park Place,24,2.0779,224,1.9160,2438,2.0724,24760,2.0987,
Luxury Tax,18,1.5584,225,1.9246,2440,2.0741,24359,2.0647,
Boardwalk,21,1.8182,292,2.4976,2979,2.5322,30187,2.5587,

Test # 8
Space,Count,%,Count,%,Count,%,Count,%
,n = 1000,,n = 10000,,n = 100000,,n = 1000000,,
Go,39,3.3191,360,3.0436,3507,2.9847,34803,2.9543,
Mediterranean Avenue,15,1.2766,265,2.2404,2434,2.0715,24202,2.0544,
Community Chest,24,2.0426,223,1.8854,2372,2.0187,24305,2.0632,
Baltic Avenue,30,2.5532,231,1.9530,2402,2.0443,24530,2.0823,
Income Tax,30,2.5532,268,2.2658,2581,2.1966,26375,2.2389,
Reading Railroad,26,2.2128,351,2.9675,3419,2.9098,33600,2.8522,
Oriental Avenue,23,1.9574,253,2.1390,2492,2.1209,25560,2.1697,
Chance,16,1.3617,268,2.2658,2590,2.2043,26142,2.2191,
Vermont Avenue,29,2.4681,231,1.9530,2563,2.1813,26044,2.2108,
Connecticut Avenue,18,1.5319,276,2.3334,2658,2.2621,25931,2.2012,
Jail / Just Visiting,31,2.6383,246,2.0798,2475,2.1064,25383,2.1547,
St. Charles Place,26,2.2128,313,2.6463,3101,2.6391,30335,2.5751,
Electric Company,27,2.2979,303,2.5617,3110,2.6468,30969,2.6289,
States Avenue,27,2.2979,258,2.1813,2616,2.2264,26302,2.2327,
Virginia Avenue,37,3.1489,311,2.6294,2885,2.4553,29087,2.4691,
Pennsylvania Railroad,30,2.5532,316,2.6716,3148,2.6791,32076,2.7228,
St. James Place,34,2.8936,313,2.6463,3241,2.7583,31750,2.6952,
Community Chest,31,2.6383,295,2.4941,3160,2.6894,31799,2.6993,
Tennessee Avenue,36,3.0638,338,2.8576,3373,2.8706,33531,2.8464,
New York Avenue,24,2.0426,372,3.1451,3481,2.9626,34098,2.8945,
Free Parking,37,3.1489,314,2.6547,3307,2.8145,33529,2.8462,
Kentucky Avenue,40,3.4043,328,2.7731,3181,2.7072,31335,2.6599,
Chance,33,2.8085,325,2.7477,3266,2.7796,33049,2.8054,
Indiana Avenue,38,3.2340,313,2.6463,3030,2.5787,30753,2.6105,
Illinois Avenue,39,3.3191,375,3.1704,3702,3.1506,36097,3.0642,
B. & O. Railroad,39,3.3191,346,2.9253,3389,2.8843,34565,2.9341,
